iter	Logloss
0	0.6866053602
1	0.6812061738
2	0.6765737453
3	0.6729615007
4	0.669836599
5	0.667131329
6	0.6648933661
7	0.6630249231
8	0.6613592702
9	0.6596980546
10	0.6581831954
11	0.6568809053
12	0.655850325
13	0.6548247028
14	0.6539509252
15	0.6531868676
16	0.6523485732
17	0.651662637
18	0.6510439526
19	0.6503859723
20	0.6498592353
21	0.6494321423
22	0.6489774296
23	0.6486391743
24	0.6482625868
25	0.6479368287
26	0.6476139791
27	0.6473242741
28	0.6470683149
29	0.6466959142
30	0.6463918483
31	0.6461140567
32	0.6458551522
33	0.6455601914
34	0.6453505842
35	0.645164672
36	0.6449386758
37	0.6447311082
38	0.644589258
39	0.6443805108
40	0.6442169964
41	0.644014837
42	0.6438514033
43	0.6437190404
44	0.6436118206
45	0.6434862168
46	0.6433514729
47	0.643217269
48	0.6430695639
49	0.6429216426
50	0.6427978205
51	0.642655888
52	0.6425793304
53	0.6425113061
54	0.6424075927
55	0.6422886436
56	0.6422051493
57	0.6420921249
58	0.6420027636
59	0.6418871866
60	0.6417645634
61	0.6417086042
62	0.6415875888
63	0.64154007
64	0.6414542332
65	0.641400626
66	0.6412715761
67	0.6412221348
68	0.641155148
69	0.641077352
70	0.6409647783
71	0.6408757238
72	0.640781934
73	0.6406963861
74	0.6405737437
75	0.6404897245
76	0.6404487658
77	0.6403937717
78	0.6403412815
79	0.6402662395
80	0.6401901533
81	0.6401051066
82	0.6400460393
83	0.6399782855
84	0.639893294
85	0.6398318762
86	0.6397615725
87	0.6396634702
88	0.6395661336
89	0.6395048488
90	0.6394666993
91	0.6393993881
92	0.6393021197
93	0.6392246157
94	0.6391291287
95	0.639075705
96	0.6390226425
97	0.6389865986
98	0.638909789
99	0.6388407497
100	0.638741181
101	0.6386754194
102	0.638610989
103	0.6385728936
104	0.6385386451
105	0.6384864823
106	0.6384451753
107	0.6384004262
108	0.6383766433
109	0.6383049534
110	0.6382264418
111	0.6381232171
112	0.6380671652
113	0.6380008898
114	0.6379186715
115	0.6378833694
116	0.6378143795
117	0.6377169269
118	0.6376512773
119	0.6375698545
120	0.6375080021
121	0.6374871681
122	0.6374227875
123	0.6373832671
124	0.6373276857
125	0.6372919703
126	0.6372408645
127	0.6371648512
128	0.6371279154
129	0.6370723607
130	0.6370258177
131	0.6369304777
132	0.6368832135
133	0.6368172899
134	0.6367530421
135	0.6367164816
136	0.6366278426
137	0.6365393695
138	0.6364899178
139	0.6364163646
140	0.6363647332
141	0.6363015442
142	0.6362057603
143	0.6361524758
144	0.6360962514
145	0.6360713539
146	0.636022026
147	0.6359610154
148	0.635903276
149	0.6358249629
150	0.635763243
151	0.6357128662
152	0.6356226258
153	0.6355934498
154	0.6355647678
155	0.6355019972
156	0.6354464469
157	0.6354000978
158	0.6353462216
159	0.6352743311
160	0.6352358747
161	0.6351815592
162	0.6351663646
163	0.6351214437
164	0.6350831605
165	0.6350425926
166	0.635008379
167	0.6349823387
168	0.6349523942
169	0.6349150017
170	0.6348535544
171	0.6347952895
