iter	Passed	Remaining
371	58306	98431
372	58519	98369
373	58734	98309
374	58988	98314
375	59117	98110
376	59315	98020
377	59458	97839
378	59632	97709
379	59842	97637
380	60063	97583
381	60263	97493
382	60489	97445
383	60615	97237
384	60731	97013
385	60988	97013
386	61210	96955
387	61403	96852
388	61612	96774
389	61751	96585
390	61878	96378
391	61991	96150
392	62142	95981
393	62364	95920
394	62610	95897
395	62776	95750
396	62989	95673
397	63130	95488
398	63346	95417
399	63469	95204
400	63636	95058
401	63827	94946
402	64062	94901
403	64184	94688
404	64433	94661
405	64558	94452
406	64752	94344
407	64979	94283
408	65213	94233
409	65405	94119
410	65617	94035
411	65782	93883
412	66038	93860
413	66196	93697
414	66323	93492
415	66452	93289
416	66620	93140
417	66780	92980
418	67055	92982
419	67169	92757
420	67322	92588
421	67488	92437
422	67633	92257
423	67863	92192
424	68039	92053
425	68137	91809
426	68328	91691
427	68532	91589
428	68675	91407
429	68868	91290
430	68981	91068
431	69222	91015
432	69416	90898
433	69561	90718
434	69715	90549
435	69915	90441
436	70067	90269
437	70200	90074
438	70320	89862
439	70470	89690
440	70687	89601
441	70854	89450
442	71164	89477
443	71308	89296
444	71468	89134
445	71626	88970
446	71856	88896
447	72117	88858
448	72268	88686
449	72442	88540
450	72633	88416
451	72736	88185
452	72852	87969
453	73036	87837
454	73205	87685
455	73319	87468
456	73461	87285
457	73561	87053
458	73733	86905
459	73863	86708
460	74082	86616
461	74309	86533
462	74491	86397
463	74718	86313
464	74917	86195
465	75143	86108
466	75303	85945
467	75529	85858
468	75764	85780
469	75959	85656
470	76193	85575
471	76483	85557
472	76609	85355
473	76843	85273
474	77122	85240
475	77209	84995
476	77374	84836
477	77531	84667
478	77647	84455
479	77801	84284
480	78104	84274
481	78317	84167
482	78548	84077
483	78645	83845
484	78769	83642
485	78892	83437
486	78998	83215
487	79083	82973
488	79239	82804
489	79429	82671
490	79515	82430
491	79635	82225
492	79801	82067
493	79965	81908
494	80158	81777
495	80258	81553
496	80374	81344
497	80546	81193
498	80708	81031
499	80913	80913
500	80992	80669
501	81267	80620
502	81509	80537
503	81724	80427
504	81977	80353
505	82203	80254
506	82324	80051
507	82505	79906
508	82713	79788
509	82935	79682
510	83032	79457
511	83122	79226
512	83253	79033
513	83533	78982
514	83695	78820
515	83809	78612
516	83961	78439
517	84175	78325
518	84379	78201
519	84482	77983
520	84635	77812
521	84766	77621
522	84885	77419
523	84968	77184
524	85229	77112
525	85472	77023
526	85652	76875
527	85843	76739
528	86005	76576
529	86131	76380
530	86329	76249
531	86502	76096
532	86698	75963
533	86860	75799
534	87012	75627
535	87296	75569
536	87511	75452
537	87692	75304
538	87934	75209
539	88207	75140
540	88411	75010
541	88606	74873
542	88725	74673
543	88935	74548
544	89105	74390
545	89205	74174
546	89330	73979
547	89465	73792
548	89628	73629
549	89784	73460
550	89875	73237
551	90032	73070
552	90231	72935
553	90381	72762
554	90489	72554
555	90624	72369
556	90744	72172
557	90937	72033
558	91055	71834
559	91212	71666
560	91357	71490
561	91566	71363
562	91763	71226
563	91964	71093
564	92219	71000
565	92442	70883
566	92589	70707
567	92782	70566
568	92965	70418
569	93118	70247
570	93285	70086
571	93498	69960
572	93692	69819
573	93844	69647
574	93985	69467
575	94164	69315
576	94398	69203
577	94539	69023
578	94743	68889
579	94891	68714
580	95098	68582
581	95425	68536
582	95606	68384
583	95805	68244
584	95955	68071
585	96153	67930
586	96414	67835
587	96610	67693
588	96858	67587
589	97016	67418
590	97249	67301
591	97460	67168
592	97683	67044
593	97828	66865
594	97962	66680
595	98174	66547
596	98393	66420
597	98550	66249
598	98764	66117
599	98954	65969
600	99188	65850
601	99425	65733
602	99559	65547
603	99744	65395
604	99869	65204
605	100099	65081
606	100339	64964
607	100561	64835
608	100676	64637
609	100787	64438
610	100911	64246
611	101113	64104
612	101285	63943
613	101511	63816
614	101697	63664
615	101902	63523
616	102122	63391
617	102271	63216
618	102390	63022
619	102595	62881
620	102752	62710
621	102961	62571
622	103171	62432
623	103344	62271
624	103589	62153
625	103774	61999
626	104094	61925
627	104291	61778
628	104515	61645
629	104775	61534
630	104999	61402
631	105170	61238
632	105295	61047
633	105421	60858
634	105683	60746
635	105811	60558
636	105981	60394
637	106104	60203
638	106291	60049
639	106453	59880
640	106649	59730
641	106791	59550
642	106882	59342
643	107033	59167
644	107161	58980
645	107351	58827
646	107532	58669
647	107774	58544
648	107971	58394
649	108104	58210
650	108224	58019
651	108420	57868
652	108660	57741
653	108826	57575
654	108992	57408
655	109250	57289
656	109486	57159
657	109703	57019
658	109850	56842
659	109955	56643
660	110074	56452
661	110218	56274
662	110405	56118
663	110534	55932
664	110784	55808
665	110919	55626
666	111038	55436
667	111227	55280
668	111397	55116
669	111648	54990
670	111926	54879
671	112224	54776
672	112417	54621
673	112616	54470
674	112818	54320
675	113017	54167
676	113128	53974
677	113291	53804
678	113356	53589
679	113483	53403
680	113584	53206
681	113796	53060
682	114118	52965
683	114315	52812
684	114383	52599
685	114489	52404
686	114673	52245
687	114934	52121
688	115084	51946
689	115318	51809
690	115478	51639
691	115670	51483
692	115787	51294
693	116035	51162
694	116182	50986
695	116373	50829
696	116525	50656
697	116692	50488
698	116924	50349
699	117159	50211
700	117309	50036
701	117462	49862
702	117583	49676
703	117745	49506
704	117885	49328
705	118148	49200
706	118275	49016
707	118438	48847
708	118596	48676
709	118743	48500
710	118975	48359
711	119169	48203
712	119369	48049
713	119499	47866
714	119645	47690
715	119777	47509
716	119969	47351
717	120307	47251
718	120490	47090
719	120690	46935
720	120923	46792
721	121191	46663
722	121473	46539
723	121650	46375
724	121764	46186
725	121928	46017
726	122177	45879
727	122383	45725
728	122574	45565
729	122769	45407
730	122903	45227
731	123196	45104
732	123406	44951
733	123580	44785
734	123716	44605
735	123867	44430
736	123987	44245
737	124179	44085
738	124386	43930
739	124557	43763
740	124740	43600
741	124906	43431
742	125169	43295
743	125357	43133
744	125511	42960
745	125713	42803
746	125972	42665
747	126155	42501
748	126313	42329
749	126486	42162
750	126654	41993
751	126843	41831
752	127097	41690
753	127299	41532
754	127498	41373
755	127685	41210
756	127957	41074
757	128135	40908
758	128356	40756
759	128560	40597
760	128735	40430
761	128879	40253
762	129131	40110
763	129337	39952
764	129444	39763
765	129541	39572
766	129775	39423
767	129942	39253
768	130102	39081
769	130287	38917
770	130448	38745
771	130573	38563
772	130665	38371
773	130825	38199
774	130945	38016
775	131080	37837
776	131274	37676
777	131493	37521
778	131631	37343
779	131794	37172
780	131962	37003
781	132079	36820
782	132340	36676
783	132525	36512
784	132743	36356
785	132886	36180
786	133048	36009
787	133266	35853
788	133476	35695
789	133718	35545
790	133861	35369
791	134101	35218
792	134346	35069
793	134571	34914
794	134749	34746
795	134906	34574
796	135048	34397
797	135299	34248
798	135509	34089
799	135657	33914
800	135779	33733
801	135890	33548
802	136010	33367
803	136231	33210
804	136393	33039
805	136534	32863
806	136726	32699
807	136920	32535
808	137122	32373
809	137407	32231
810	137637	32075
811	137721	31886
812	137867	31711
813	138033	31540
814	138200	31370
815	138479	31225
816	138634	31052
817	138862	30896
818	138971	30712
819	139068	30527
820	139231	30356
821	139399	30186
822	139600	30023
823	139793	29858
824	139999	29696
825	140151	29523
826	140358	29361
827	140616	29210
828	140873	29058
829	140981	28875
830	141198	28715
831	141389	28549
832	141542	28376
833	141681	28200
834	141801	28020
835	141980	27852
836	142114	27675
837	142263	27502
838	142470	27339
839	142647	27170
840	142823	27002
841	142957	26825
842	143029	26637
843	143240	26475
844	143374	26299
845	143614	26142
846	143866	25987
847	144101	25829
848	144239	25653
849	144422	25486
850	144622	25321
851	144764	25146
852	144971	24983
853	145100	24806
854	145289	24639
855	145474	24472
856	145704	24312
857	145895	24145
858	146100	23981
859	146284	23813
860	146388	23632
861	146581	23466
862	146840	23310
863	147060	23148
864	147216	22976
865	147443	22814
866	147683	22655
867	147855	22484
868	148098	22325
869	148305	22160
870	148458	21987
871	148652	21820
872	148846	21653
873	149027	21484
874	149284	21326
875	149437	21153
876	149609	20982
877	149798	20814
878	149937	20639
879	150103	20468
880	150248	20294
881	150449	20128
882	150683	19966
883	150854	19795
884	151034	19625
885	151212	19456
886	151408	19288
887	151559	19115
888	151760	18948
889	151919	18776
890	152164	18614
891	152288	18438
892	152443	18265
893	152743	18110
894	153026	17952
895	153227	17785
896	153384	17612
897	153577	17444
898	153745	17272
899	153928	17103
900	154086	16930
901	154284	16762
902	154414	16587
903	154634	16421
904	155001	16270
905	155189	16101
906	155373	15931
907	155530	15758
908	155735	15590
909	155982	15426
910	156099	15250
911	156222	15074
912	156416	14904
913	156608	14735
914	156803	14566
915	157084	14405
916	157280	14235
917	157484	14067
918	157604	13891
919	157716	13714
920	157933	13546
921	158095	13374
922	158193	13197
923	158281	13018
924	158371	12840
925	158461	12663
926	158610	12490
927	158769	12318
928	158984	12150
929	159171	11980
930	159358	11810
931	159576	11642
932	159679	11466
933	159812	11292
934	159990	11122
935	160144	10950
936	160354	10781
937	160496	10608
938	160722	10440
939	160868	10268
940	161099	10100
941	161379	9936
942	161537	9764
943	161653	9589
944	161811	9417
945	161981	9246
946	162155	9075
947	162373	8906
948	162505	8733
949	162692	8562
950	162954	8396
951	163238	8230
952	163402	8058
953	163596	7888
954	163820	7719
955	163886	7542
956	164022	7369
957	164263	7201
958	164418	7029
959	164589	6857
960	164697	6683
961	164857	6512
962	165029	6340
963	165150	6167
964	165293	5995
965	165490	5824
966	165630	5652
967	165882	5483
968	166070	5312
969	166415	5146
970	166586	4975
971	166746	4803
972	166954	4632
973	167236	4464
974	167419	4292
975	167637	4122
976	167803	3950
977	167926	3777
978	168105	3605
979	168265	3433
980	168445	3262
981	168704	3092
982	168933	2921
983	169140	2750
984	169385	2579
985	169617	2408
986	169828	2236
987	170026	2065
988	170236	1893
989	170402	1721
990	170599	1549
991	170782	1377
992	170934	1204
993	171086	1032
994	171323	860
995	171558	688
996	171746	516
997	171947	344
998	172104	172
999	172292	0
